Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,others,therocktrading
2017-12-21 11:00:00 UTC,16576.8985553911,16603.1088511823,18173.6244046243,16736.1638235624,16501.1106230826,16615.3741881299,16616.7633962264,16239.4164814814,16592.344153125,
2017-12-21 12:00:00 UTC,16666.4308813712,16752.4475716236,18234.0498439716,16815.0050473188,16535.7790587842,16737.8011373976,16705.1490425532,16383.6367058824,16541.9420422571,
2017-12-21 13:00:00 UTC,16369.6465179593,16473.240365993,18006.0389029293,16564.9154880244,16232.3876857357,16438.6547528016,16445.3130366492,16225.4827884615,16448.15916004595,16002.084
2017-12-21 14:00:00 UTC,16097.8043373998,16239.4720594617,17787.4266441558,16357.9310009211,16121.1156148086,16221.9403166497,16215.474529148,15936.2120481927,16115.95467831625,15503.71
2017-12-21 15:00:00 UTC,15507.8613767119,15693.2021228919,17146.8876861702,15839.7312722033,15496.2556511552,15708.5522935044,15656.9902024922,15265.1729480738,15515.4879021409,15501.006
2017-12-21 16:00:00 UTC,15507.6085592559,15620.1832213568,17035.9617709721,15779.987248908,15655.3202454479,15660.3751187905,15638.4647250859,15207.4878063017,15518.96648574145,
2017-12-21 17:00:00 UTC,15234.4554497828,15320.9842234454,16790.8735373913,15506.86547376,15484.6015215739,15394.3509341096,15353.3720889488,14998.8351679105,15281.5491618079,
2017-12-21 18:00:00 UTC,15283.9272497393,15318.0201096709,16916.9523717623,15500.7419461403,15276.7254932195,15420.5963749999,15375.7326511628,14847.0908953723,15038.373953018066,
2017-12-21 19:00:00 UTC,15189.2226093228,15270.9088954911,17041.9665860039,15406.1300991231,15110.3579309748,15327.6595329442,15302.0852586207,14662.5779104477,14944.4224506579,15000.0
2017-12-21 20:00:00 UTC,15224.0842630434,15328.3293713491,17046.61699877,15455.2435878186,15294.3769543239,15451.6841215107,15435.6372769953,15019.527965436,15035.3171820573,
2017-12-21 21:00:00 UTC,15362.14955017,15411.4727670711,17171.8928054299,15574.462222935,15383.2530025643,15482.7860141159,15299.758,14951.8115666179,15240.531434885099,
2017-12-21 22:00:00 UTC,15518.299674914,15721.142979831,17390.0027312775,15835.8089175501,15632.6581232785,15766.2554008097,,15273.0380212015,15588.475331911151,
2017-12-21 23:00:00 UTC,15455.0865156099,15530.8424604743,17327.8858886256,15685.6673005904,15455.7252309426,15668.9713621262,,15155.0391267842,15515.5464808954,
2017-12-22 00:00:00 UTC,15413.8554085306,15457.2639707016,17309.443937247,15658.9265034967,15304.341015792,15643.7870667178,,15197.9658839779,15384.1945509053,14002.1
2017-12-22 01:00:00 UTC,14652.2676781392,14768.7820002888,16936.0940688576,14968.1300565716,14843.5980987525,14906.2792328814,,14519.566238608,14632.636748288849,
2017-12-22 02:00:00 UTC,14373.2594306803,14433.7898564426,16514.3872512136,14376.881698026,14556.7204687051,14386.6419548179,,14215.5122392211,14289.372733919601,14000.846
2017-12-22 03:00:00 UTC,13609.473713718,13775.0418967472,15706.7791396547,13709.7176916051,13821.4664536249,13751.4279075942,,13489.4910150891,13559.99026402515,12362.68
2017-12-22 04:00:00 UTC,14258.6978807001,14550.4514845334,16522.5005249042,14766.2345365447,14612.6377757806,14648.8276772698,,14134.855363841,14137.433199028499,
2017-12-22 05:00:00 UTC,14078.0688755217,14382.4892867258,16377.9424645718,14588.5024357898,14214.3712061229,14548.0005062602,,13999.5424350484,14053.928493324249,13097.67
2017-12-22 06:00:00 UTC,13672.4153457552,14002.5702903365,15741.1470261122,14152.8463233191,13773.5583036546,14129.1023766285,,13486.1439980159,13685.84508802515,
2017-12-22 07:00:00 UTC,12670.7710457432,13169.9153960859,14130.5479784859,13412.5580820943,12946.8875977152,13334.0826779972,14398.9195555556,12631.4368894217,12656.70838780595,15401.60375
2017-12-22 08:00:00 UTC,12882.6452070629,13178.8289040344,14727.3644334069,13522.832921212,13137.2126116146,13424.8567737391,13513.2104615385,12922.9459393346,12912.351058876451,13234.6815789474
2017-12-22 09:00:00 UTC,13386.0739415952,13576.8431332399,15256.0610107676,13892.1103349909,13821.7543075497,13783.2774599786,13791.3794170404,13632.6658787879,13464.170687055052,13302.6171428571
2017-12-22 10:00:00 UTC,13815.5316460198,14195.6734912753,15784.8939073331,14351.2689659847,14377.982470589,14204.7181456426,14213.7781818182,14279.2032844575,13736.19397042785,13932.6113333333
