Time,bitfinex,bitflyer,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,kraken,others
2018-02-05 21:16:00 UTC,255.0,121.0,166.0,22.0,386.0,58.0,35.0,86.0,186.0,96.0
2018-02-05 21:17:00 UTC,389.0,201.0,320.0,75.0,559.0,127.0,29.0,67.0,379.0,154.0
2018-02-05 21:18:00 UTC,466.0,165.0,380.0,71.0,480.0,116.0,28.0,94.0,277.0,199.0
2018-02-05 21:19:00 UTC,230.0,224.0,215.0,29.0,411.0,56.0,27.0,71.0,266.0,203.0
2018-02-05 21:20:00 UTC,497.0,265.0,240.0,104.0,671.0,50.0,71.0,97.0,323.0,99.0
2018-02-05 21:21:00 UTC,313.0,297.0,155.0,46.0,384.0,63.0,41.0,35.0,309.0,95.0
2018-02-05 21:22:00 UTC,290.0,237.0,94.0,28.0,454.0,43.0,24.0,99.0,170.0,76.0
2018-02-05 21:23:00 UTC,322.0,195.0,89.0,54.0,288.0,42.0,23.0,83.0,199.0,98.0
2018-02-05 21:24:00 UTC,218.0,141.0,69.0,72.0,261.0,41.0,15.0,33.0,140.0,113.0
2018-02-05 21:25:00 UTC,208.0,126.0,125.0,31.0,304.0,86.0,31.0,65.0,212.0,143.0
2018-02-05 21:26:00 UTC,255.0,170.0,101.0,35.0,321.0,45.0,22.0,30.0,156.0,81.0
2018-02-05 21:27:00 UTC,181.0,137.0,128.0,76.0,292.0,8.0,29.0,20.0,181.0,78.0
2018-02-05 21:28:00 UTC,341.0,231.0,171.0,84.0,549.0,93.0,68.0,52.0,332.0,119.0
2018-02-05 21:29:00 UTC,233.0,218.0,121.0,40.0,320.0,74.0,28.0,25.0,298.0,80.0
2018-02-05 21:30:00 UTC,266.0,232.0,125.0,74.0,328.0,83.0,37.0,85.0,250.0,132.0
2018-02-05 21:31:00 UTC,338.0,173.0,125.0,111.0,457.0,55.0,44.0,74.0,286.0,122.0
2018-02-05 21:32:00 UTC,312.0,154.0,68.0,42.0,418.0,30.0,46.0,23.0,197.0,91.0
2018-02-05 21:33:00 UTC,415.0,151.0,213.0,38.0,483.0,40.0,68.0,72.0,228.0,128.0
2018-02-05 21:34:00 UTC,131.0,100.0,113.0,22.0,269.0,11.0,47.0,24.0,196.0,84.0
2018-02-05 21:35:00 UTC,215.0,161.0,77.0,28.0,329.0,35.0,38.0,58.0,119.0,78.0
2018-02-05 21:36:00 UTC,294.0,197.0,73.0,32.0,315.0,29.0,19.0,47.0,131.0,75.0
2018-02-05 21:37:00 UTC,158.0,169.0,82.0,40.0,361.0,13.0,76.0,20.0,122.0,143.0
2018-02-05 21:38:00 UTC,286.0,145.0,118.0,73.0,247.0,45.0,42.0,24.0,155.0,82.0
2018-02-05 21:39:00 UTC,221.0,167.0,145.0,23.0,212.0,22.0,17.0,23.0,137.0,95.0
2018-02-05 21:40:00 UTC,158.0,108.0,105.0,33.0,259.0,50.0,24.0,55.0,155.0,99.0
2018-02-05 21:41:00 UTC,153.0,130.0,65.0,10.0,176.0,35.0,20.0,25.0,99.0,106.0
2018-02-05 21:42:00 UTC,163.0,118.0,71.0,62.0,254.0,58.0,17.0,42.0,105.0,68.0
2018-02-05 21:43:00 UTC,109.0,101.0,32.0,11.0,160.0,40.0,20.0,18.0,59.0,82.0
2018-02-05 21:44:00 UTC,254.0,132.0,169.0,24.0,247.0,25.0,12.0,52.0,117.0,92.0
2018-02-05 21:45:00 UTC,182.0,129.0,97.0,50.0,291.0,50.0,18.0,28.0,163.0,64.0
2018-02-05 21:46:00 UTC,180.0,146.0,84.0,21.0,207.0,36.0,14.0,20.0,191.0,71.0
2018-02-05 21:47:00 UTC,159.0,88.0,83.0,48.0,186.0,25.0,37.0,15.0,178.0,69.0
2018-02-05 21:48:00 UTC,153.0,145.0,68.0,22.0,364.0,22.0,26.0,23.0,142.0,94.0
2018-02-05 21:49:00 UTC,280.0,138.0,129.0,24.0,409.0,7.0,34.0,70.0,215.0,96.0
