Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,others
2018-01-24 20:00:00 UTC,11181.6223023367,11196.3608461538,11908.8055679287,11150.1669270626,12055.6553146269,11190.4297802198,11196.4729867675,11176.2220408163,11215.5358003442,11050.29
2018-01-24 21:00:00 UTC,11219.557810961,11224.5867364415,11932.968907563,11183.8856035064,12094.5004325691,11208.2906072106,11227.50849631,11193.9270588235,11244.7420189819,11048.7625531915
2018-01-24 22:00:00 UTC,11158.802826733,11169.1437187231,11871.8310061602,11140.848222574,12028.246293994,11166.2341433279,11171.5677643909,11175.5548587571,11174.0806038426,11075.6948148148
2018-01-24 23:00:00 UTC,11248.551364242,11283.216735955,11939.5666666667,11215.9357622131,12080.3071572049,11198.9667253252,11231.7443325527,11230.1286511628,11233.1221214236,11076.9242307692
2018-01-25 00:00:00 UTC,11342.2594942991,11367.6485211268,12027.016097561,11310.456876703,12097.1780561827,11340.2790749236,11315.2979133065,11352.2575,11352.2827004219,11151.2832692308
2018-01-25 01:00:00 UTC,11384.2269897472,11433.4464358107,12065.9934659091,11379.3398654794,12130.4790980401,11382.9572525598,11364.072864,11426.0479251701,11413.794506075,11166.0533898305
2018-01-25 02:00:00 UTC,11493.5216258106,11564.7256970083,12112.7566003617,11479.4746395327,12217.2041829208,11484.2624517907,11476.6375163399,11517.0093536122,11525.1401873768,11134.8707042254
2018-01-25 03:00:00 UTC,11599.7920982449,11599.4169,12209.9058276644,11566.474293724,12289.6752748712,11592.3106627393,11579.2596728972,11604.4807305936,11632.9991602067,11267.7374576271
2018-01-25 04:00:00 UTC,11496.6094153151,11516.2116210937,12202.1289256198,11471.986385719,12244.6339788362,11492.9458250001,11506.93425,11486.6079090909,11536.5040943789,11265.176984127
2018-01-25 05:00:00 UTC,11523.3849947611,11523.4728812057,12220.1605932203,11476.3802675747,12157.6830511863,11494.3437748345,11524.5612300683,11507.2944029851,11552.7543142598,11324.9089285714
2018-01-25 06:00:00 UTC,11540.6952409909,11568.4583269337,12235.5914215686,11477.4811609907,12225.1823971872,11540.6545616114,11534.4873741007,11540.017025641,11561.2793534166,11346.5827777778
2018-01-25 07:00:00 UTC,11465.5097936833,11489.108826937,12155.9546568627,11426.412402371,12157.9595503787,11454.9700777202,11440.7590275762,11483.6762711864,11498.1079010375,11485.673125
2018-01-25 08:00:00 UTC,11320.8878951382,11349.4981736842,12037.8976241901,11293.0268628834,12080.3105550538,11313.4714555556,11318.9348387097,11334.2841071429,11332.2802690583,11389.8594117647
2018-01-25 09:00:00 UTC,11236.6982783938,11253.9515660285,11954.644820296,11205.600627631,12041.9933687666,11207.5326625387,11272.8671509971,11250.5930898876,11244.1478046103,11328.2590140845
2018-01-25 10:00:00 UTC,11348.7016359517,11348.0526202531,12003.320855615,11289.0661797066,12168.9969284914,11295.2921409922,11364.0484149485,11331.5125128205,11338.9716147719,11323.7687878788
2018-01-25 11:00:00 UTC,11268.7473869726,11285.6280617036,11968.0627604167,11221.3195218467,12164.5934112825,11217.7976116071,11303.7190629371,11254.542710084,11262.0487555839,11351.4293103448
2018-01-25 12:00:00 UTC,11129.5643008554,11123.3687833467,11831.9742971887,11096.9444295083,12044.7769878637,11095.4215,11149.1219061584,11103.7474074074,11108.0603809524,11198.0352845528
2018-01-25 13:00:00 UTC,11178.195274018,11178.9150982182,11857.4874680307,11152.6950364964,12069.2434849667,11150.5270474658,11182.5774779736,11165.6618811881,11135.5899273105,11102.7615151515
2018-01-25 14:00:00 UTC,11223.723390342,11217.8278701298,11869.4286206897,11198.7982931571,12080.3699453177,11212.2408566853,11219.941005988,11195.0677536232,11203.7690779015,11240.4419148936
2018-01-25 15:00:00 UTC,11057.4133720846,11063.8476757188,11738.3582593251,11018.1174171122,11909.6460007099,11010.0128677966,11077.6764332036,11020.3353410554,11055.4561742254,11124.1942857143
